TransactionID,Timestamp,SenderName,SenderAccount,ReceiverName,ReceiverAccount,Amount,PaymentMethod,TransactionType,IsFraud
TXN100079,2025-07-13 05:08:31,Noman Fatima,Meezan Bank-54476772,Shahid Noman,HBL-84912745,77473.53,HBL Konnect,Deposit,0
TXN100080,2025-04-02 18:30:16,Hassan Noman,HBL-45741458,Fatima Zain,Bank Alfalah-11169778,87720.37,HBL Konnect,Deposit,0
TXN100081,2025-06-29 10:39:26,Bilal Imran,Meezan Bank-88011858,Tariq Mehdi,UBL-41544343,39895.22,HBL Konnect,Money Transfer,0
TXN100082,2025-07-12 04:32:56,Ayesha Bilal,MCB-11968497,Noman Zain,Sindh Bank-30371670,72593.92,Easypaisa,Deposit,0
TXN100083,2025-06-03 20:25:57,Nida Khan,Meezan Bank-37164439,Ahmed Tariq,Faysal Bank-94435358,27288.13,Easypaisa,Deposit,0
TXN100084,2025-05-01 13:50:45,Amna Hina,Sindh Bank-79932330,Fatima Fatima,Sindh Bank-27775177,64738.48,UBL Omni,Money Transfer,0
TXN100085,2025-02-27 13:43:42,Shahid Zara,Faysal Bank-50954171,Zara Shahid,Sindh Bank-88324731,85434.27,UBL Omni,Money Transfer,0
TXN100086,2025-01-27 17:15:57,Ayesha Saad,Sindh Bank-57441428,Ayesha Mehdi,UBL-46059765,4053.47,HBL Konnect,Cash Withdrawal,0
TXN100087,2025-05-02 15:18:25,Amna Nida,UBL-35460803,Zain Zara,MCB-36709853,85653.96,UBL Omni,Deposit,0
TXN100088,2025-05-14 08:09:56,Zara Noman,Bank Alfalah-74774181,Usman Tariq,Faysal Bank-10333581,48405.94,HBL Konnect,Loan Repayment,0
TXN100089,2025-03-16 14:39:17,Fatima Bilal,MCB-87284677,Noman Hassan,HBL-14560123,69650.92,UBL Omni,Loan Repayment,0
TXN100090,2025-02-15 15:20:54,Saad Mehdi,HBL-40106817,Mehdi Hina,UBL-32465908,67643.62,Bank Transfer,Cash Withdrawal,0
TXN100091,2025-03-10 17:01:12,Ahmed Hina,HBL-58826226,Imran Imran,Sindh Bank-93363855,40801.51,UBL Omni,Loan Repayment,0
TXN100092,2025-03-12 15:02:58,Nida Hina,UBL-58827164,Tariq Tariq,Meezan Bank-41696601,46659.01,Bank Transfer,Money Transfer,0
TXN100093,2025-01-31 07:52:43,Zain Yasir,UBL-45364580,Hassan Mehdi,Sindh Bank-96874980,21654.82,Easypaisa,Bill Payment,0
TXN100094,2025-04-09 11:34:36,Zara Zara,HBL-85132485,Noman Imran,Askari Bank-32940970,25243.88,HBL Konnect,Cash Withdrawal,0
TXN100095,2025-07-27 08:50:37,Zara Ali,Faysal Bank-49515114,Ahmed Fatima,MCB-66396027,63397.04,Bank Transfer,Cash Withdrawal,0
TXN100096,2025-06-12 22:01:33,Hina Ali,HBL-29341963,Zain Hassan,HBL-71292019,64934.16,HBL Konnect,Loan Repayment,0
TXN100097,2025-07-12 20:27:46,Ali Fatima,UBL-39619978,Yasir Amna,UBL-17459942,57419.44,Easypaisa,Money Transfer,0
TXN100098,2025-04-13 02:03:21,Khan Bilal,HBL-44274593,Tariq Fatima,UBL-78131512,37526.09,JazzCash,Money Transfer,0
TXN100099,2025-04-10 15:57:29,Ali Yasir,MCB-42014493,Usman Mehdi,UBL-37958825,9663.2,Bank Transfer,Bill Payment,0
TXN100100,2025-04-05 17:44:19,Saad Ayesha,MCB-77579639,Ahmed Hina,Askari Bank-13311486,98213.81,HBL Konnect,Deposit,1
TXN100101,2025-03-30 13:10:32,Zara Khan,MCB-85547444,Zain Saad,Meezan Bank-13003521,94608.37,HBL Konnect,Deposit,0
TXN100102,2025-05-22 21:19:50,Bilal Tariq,Sindh Bank-64663122,Noman Khan,Sindh Bank-49868366,6262.99,HBL Konnect,Money Transfer,0
TXN100103,2025-02-03 23:10:06,Hina Yasir,Faysal Bank-79472999,Tariq Shahid,Meezan Bank-56743787,88835.48,Easypaisa,Loan Repayment,0
TXN100104,2025-03-26 02:13:50,Amna Fatima,Meezan Bank-30264281,Ali Mehdi,MCB-36364608,65491.23,Bank Transfer,Loan Repayment,0
TXN100105,2025-04-23 14:43:38,Hassan Shahid,Sindh Bank-39942644,Bilal Mehdi,HBL-16042858,68975.64,Bank Transfer,Cash Withdrawal,0
TXN100106,2025-02-09 00:08:48,Ahmed Bilal,UBL-30233242,Hina Ayesha,Bank Alfalah-57261122,32157.44,Easypaisa,Bill Payment,0
TXN100107,2025-04-26 00:59:11,Ali Amna,Askari Bank-29955390,Hina Imran,Sindh Bank-93557815,46516.23,JazzCash,Loan Repayment,0
TXN100108,2025-02-19 08:22:57,Usman Ali,Askari Bank-77951028,Ayesha Imran,Askari Bank-69265492,59392.58,UBL Omni,Cash Withdrawal,0
TXN100109,2025-06-08 12:00:07,Noman Imran,MCB-43183158,Hassan Hassan,Faysal Bank-57035323,78468.71,HBL Konnect,Loan Repayment,0
TXN100110,2025-02-26 05:40:30,Saad Hassan,HBL-46762476,Tariq Mehdi,Sindh Bank-94342123,95201.62,Easypaisa,Loan Repayment,0
TXN100111,2025-03-07 00:02:28,Hina Yasir,Askari Bank-93512828,Mehdi Nida,Meezan Bank-29461596,78942.54,UBL Omni,Loan Repayment,0
TXN100112,2025-04-29 04:43:29,Ahmed Saad,Faysal Bank-11042741,Ahmed Ayesha,Sindh Bank-57978815,3704.0,Bank Transfer,Money Transfer,0
TXN100113,2025-04-12 14:19:51,Tariq Zain,HBL-91289867,Mehdi Amna,Bank Alfalah-22288490,26165.81,JazzCash,Money Transfer,0
TXN100114,2025-04-21 23:16:12,Amna Amna,UBL-60571449,Ali Ayesha,MCB-20598906,11672.91,UBL Omni,Loan Repayment,0
TXN100115,2025-03-26 00:03:16,Zara Bilal,HBL-79547753,Imran Zain,Bank Alfalah-58205678,7555.84,JazzCash,Money Transfer,0
TXN100116,2025-05-26 04:15:43,Imran Hina,HBL-53314394,Zara Tariq,Sindh Bank-34780707,10237.14,UBL Omni,Cash Withdrawal,0
TXN100117,2025-03-05 01:50:18,Khan Bilal,HBL-51283968,Ahmed Noman,HBL-87545003,75598.52,Bank Transfer,Bill Payment,0
TXN100118,2025-03-19 23:35:27,Amna Saad,UBL-53672928,Ayesha Imran,Faysal Bank-76544832,50827.14,JazzCash,Cash Withdrawal,0
TXN100119,2025-05-05 17:38:21,Shahid Hina,Askari Bank-82354060,Zain Hina,Sindh Bank-46189344,12312.59,Bank Transfer,Cash Withdrawal,0
TXN100120,2025-04-16 15:43:07,Ali Bilal,Sindh Bank-45666806,Khan Tariq,Faysal Bank-32306150,16825.16,JazzCash,Bill Payment,0
TXN100121,2025-04-24 11:50:22,Saad Amna,HBL-98804082,Saad Hassan,UBL-39949034,41559.31,JazzCash,Money Transfer,0
TXN100122,2025-04-17 13:44:33,Tariq Ayesha,UBL-67907984,Nida Fatima,HBL-13213239,48297.14,UBL Omni,Deposit,0
TXN100123,2025-05-31 12:42:30,Bilal Ahmed,MCB-80190978,Zara Imran,Sindh Bank-65455997,72922.59,JazzCash,Loan Repayment,0
TXN100124,2025-05-07 00:39:24,Saad Ahmed,Faysal Bank-72916959,Yasir Tariq,Faysal Bank-75335207,66043.68,UBL Omni,Deposit,0
TXN100125,2025-06-13 16:26:31,Ahmed Ahmed,Faysal Bank-30515825,Mehdi Hassan,Bank Alfalah-69972698,26639.4,HBL Konnect,Cash Withdrawal,0
TXN100126,2025-02-14 06:03:37,Hina Fatima,MCB-87574541,Hina Zara,Sindh Bank-86165277,72134.5,JazzCash,Cash Withdrawal,0
TXN100127,2025-05-09 06:03:04,Yasir Khan,HBL-47525067,Zain Hassan,Bank Alfalah-22464236,83890.22,HBL Konnect,Bill Payment,0
TXN100128,2025-04-30 05:57:55,Fatima Ahmed,MCB-95681972,Ayesha Noman,MCB-61061649,39211.85,Bank Transfer,Cash Withdrawal,0
TXN100129,2025-04-04 21:03:58,Bilal Bilal,Bank Alfalah-85253081,Shahid Nida,UBL-24495941,86060.4,HBL Konnect,Money Transfer,0
TXN100130,2025-04-29 16:30:02,Hina Khan,UBL-30650981,Ahmed Mehdi,MCB-18164170,37911.3,Easypaisa,Deposit,0
TXN100131,2025-06-22 07:09:35,Mehdi Noman,Meezan Bank-86269894,Zain Amna,Bank Alfalah-86257221,57769.22,Easypaisa,Bill Payment,0
TXN100132,2025-02-03 08:49:18,Zara Saad,Sindh Bank-15948866,Fatima Hina,Faysal Bank-39545714,60264.29,Bank Transfer,Money Transfer,0
TXN100133,2025-07-03 19:29:48,Zain Usman,Meezan Bank-27338157,Bilal Zara,Meezan Bank-65981389,8750.49,Easypaisa,Bill Payment,0
TXN100134,2025-03-06 22:48:38,Amna Hassan,Bank Alfalah-68815025,Zara Saad,Askari Bank-46993001,99044.23,UBL Omni,Bill Payment,0
TXN100135,2025-02-10 14:04:58,Imran Saad,MCB-22918084,Ali Saad,UBL-31048777,65914.69,Easypaisa,Cash Withdrawal,0
TXN100136,2025-02-18 22:32:37,Khan Zain,MCB-31067599,Fatima Noman,Meezan Bank-80171889,67773.31,HBL Konnect,Bill Payment,0
TXN100137,2025-05-11 22:27:29,Amna Tariq,Meezan Bank-71021786,Nida Ahmed,HBL-52758186,96618.76,HBL Konnect,Money Transfer,0
TXN100138,2025-04-25 19:17:33,Saad Zara,Meezan Bank-37454901,Tariq Mehdi,UBL-43225156,14219.95,HBL Konnect,Cash Withdrawal,0
TXN100139,2025-03-20 05:31:17,Tariq Khan,UBL-43793680,Fatima Tariq,MCB-47687863,13413.66,Easypaisa,Cash Withdrawal,0
TXN100140,2025-05-20 16:17:13,Zain Zain,HBL-58460370,Saad Zain,Askari Bank-99388376,40094.15,Easypaisa,Bill Payment,0
TXN100141,2025-06-09 06:07:42,Ali Nida,UBL-98542893,Ali Imran,Meezan Bank-77436342,36622.61,Bank Transfer,Money Transfer,0
TXN100142,2025-03-14 04:33:25,Shahid Mehdi,UBL-14568184,Yasir Zara,UBL-61574239,55946.57,UBL Omni,Deposit,0
TXN100143,2025-07-22 01:08:11,Yasir Yasir,Sindh Bank-24020518,Fatima Ali,MCB-21190781,77186.47,UBL Omni,Money Transfer,0
TXN100144,2025-04-05 13:08:44,Amna Nida,MCB-37849733,Usman Khan,Bank Alfalah-75166334,66316.81,JazzCash,Bill Payment,0
TXN100145,2025-05-06 06:34:14,Nida Hina,Meezan Bank-28357234,Tariq Imran,HBL-84965605,86082.55,Easypaisa,Cash Withdrawal,0
TXN100146,2025-02-02 02:31:52,Fatima Zain,MCB-99909055,Shahid Ahmed,Sindh Bank-11470804,55100.96,HBL Konnect,Bill Payment,0
TXN100147,2025-05-28 13:15:51,Zain Mehdi,HBL-29616434,Zara Ayesha,Meezan Bank-51988469,59774.48,UBL Omni,Money Transfer,0
TXN100148,2025-03-12 16:38:23,Zara Saad,Meezan Bank-46390133,Usman Zara,Sindh Bank-45771313,1971.94,Easypaisa,Money Transfer,0
TXN100149,2025-02-01 22:11:30,Nida Yasir,Meezan Bank-90920543,Hassan Usman,MCB-44314545,29684.8,HBL Konnect,Money Transfer,0
TXN100150,2025-03-11 10:12:13,Hina Mehdi,Meezan Bank-79499042,Hassan Amna,Askari Bank-68150858,11030.58,HBL Konnect,Deposit,0
TXN100151,2025-02-09 02:50:25,Noman Bilal,Faysal Bank-91662446,Hina Amna,Askari Bank-71369872,60051.81,JazzCash,Cash Withdrawal,1
TXN100152,2025-07-18 17:23:47,Khan Tariq,UBL-57238680,Bilal Shahid,Meezan Bank-35652841,78427.33,HBL Konnect,Bill Payment,0
TXN100153,2025-07-23 04:00:09,Hina Amna,Askari Bank-44717668,Tariq Khan,UBL-95327337,3716.8,Bank Transfer,Money Transfer,0
TXN100154,2025-02-01 17:40:09,Ayesha Hina,HBL-54288470,Ali Saad,Meezan Bank-58599612,10333.51,HBL Konnect,Deposit,0
TXN100155,2025-01-27 09:41:56,Zara Ahmed,HBL-83872216,Imran Bilal,HBL-21260887,23969.42,Bank Transfer,Loan Repayment,0
TXN100156,2025-06-20 15:15:52,Hina Ayesha,UBL-78040685,Ayesha Zara,Bank Alfalah-79477302,28554.1,Easypaisa,Bill Payment,0
TXN100157,2025-05-29 02:53:00,Hina Mehdi,HBL-80082305,Bilal Ahmed,MCB-99109022,22595.38,Bank Transfer,Loan Repayment,0
TXN100158,2025-07-25 19:50:55,Bilal Ali,Sindh Bank-77365305,Hassan Ayesha,Bank Alfalah-63810091,60130.46,UBL Omni,Cash Withdrawal,0
TXN100159,2025-05-30 05:23:46,Zara Ahmed,MCB-91170639,Zain Noman,UBL-41943651,71906.85,Easypaisa,Cash Withdrawal,0
TXN100160,2025-02-10 14:58:55,Mehdi Shahid,HBL-27068639,Nida Bilal,MCB-86366866,63031.63,HBL Konnect,Money Transfer,0
TXN100161,2025-01-26 20:49:35,Yasir Shahid,Sindh Bank-61665575,Imran Yasir,Faysal Bank-96428736,34035.0,JazzCash,Bill Payment,0
TXN100162,2025-04-25 07:41:36,Tariq Zara,Faysal Bank-29171142,Ayesha Fatima,Askari Bank-41168900,90207.46,HBL Konnect,Deposit,0
TXN100163,2025-06-23 00:52:01,Nida Ahmed,Bank Alfalah-33153907,Amna Hassan,Faysal Bank-89719787,70793.29,HBL Konnect,Bill Payment,0
TXN100164,2025-06-02 18:49:54,Imran Nida,Askari Bank-80067736,Tariq Tariq,Askari Bank-14966155,24547.48,JazzCash,Cash Withdrawal,0
TXN100165,2025-07-07 08:30:02,Noman Hina,Faysal Bank-73039192,Tariq Noman,Sindh Bank-33664242,67092.6,HBL Konnect,Money Transfer,0
TXN100166,2025-04-05 10:00:30,Zain Hina,HBL-76652328,Zara Ahmed,MCB-69684081,45803.5,Easypaisa,Cash Withdrawal,0
TXN100167,2025-04-13 10:29:49,Hina Hina,Bank Alfalah-30456936,Shahid Hassan,Bank Alfalah-90825878,4421.29,Bank Transfer,Money Transfer,0
TXN100168,2025-04-17 11:11:51,Bilal Ali,Sindh Bank-26322122,Ayesha Saad,Askari Bank-89243474,79046.63,Easypaisa,Deposit,0
TXN100169,2025-05-09 05:34:56,Zain Hassan,UBL-79875989,Hassan Zara,Sindh Bank-34199265,41907.35,HBL Konnect,Bill Payment,0
TXN100170,2025-03-03 08:29:53,Ayesha Imran,Askari Bank-41300447,Yasir Yasir,Sindh Bank-30100191,77745.55,UBL Omni,Deposit,0
TXN100171,2025-01-31 02:45:00,Saad Ayesha,HBL-87642915,Ahmed Khan,MCB-12069568,79596.66,Bank Transfer,Bill Payment,0
TXN100172,2025-04-04 08:59:41,Zara Tariq,UBL-63998588,Ayesha Khan,Bank Alfalah-69663883,87942.23,UBL Omni,Loan Repayment,0
TXN100173,2025-04-16 17:24:08,Noman Khan,HBL-38154435,Hina Nida,MCB-68698584,42897.27,UBL Omni,Cash Withdrawal,0
TXN100174,2025-05-13 13:23:03,Shahid Noman,Meezan Bank-64582838,Ahmed Mehdi,MCB-22943399,35253.04,UBL Omni,Cash Withdrawal,0
TXN100175,2025-05-24 23:24:25,Amna Nida,Bank Alfalah-86009617,Bilal Ahmed,HBL-93559619,26515.79,Easypaisa,Deposit,0
TXN100176,2025-07-22 18:27:11,Khan Zain,Bank Alfalah-52765691,Hina Imran,HBL-40507134,75873.73,Easypaisa,Deposit,0
TXN100177,2025-06-30 09:54:41,Zara Hassan,Bank Alfalah-52900766,Saad Bilal,Faysal Bank-25153950,50544.33,JazzCash,Deposit,0
TXN100178,2025-03-12 22:00:15,Bilal Yasir,HBL-71347903,Usman Mehdi,Sindh Bank-72155933,31603.77,Bank Transfer,Bill Payment,0
